"","x"
"1","hal ini berarti masih bisa terjadi penularan di tengah masyarakat entah itu di kantor pasar dll   maka dari itulah p "
"2","pemerintah as menyerukan penyelidikan internasional yang kuat dan jelas soal asal usul virus corona covid di china  "
"3","ingat slogan luhur moyang kita gotong royong ya lur   jangan biarkan pemerintah sendirian untuk menghadapi pandemi ini  "
"4","buat yang masih rajin bully pemerintah soal covid ini gue sarankan perbanyak ngobrol sama temen di negara lain jangan cuma s "
"5","pemerintah provinsi dki jakarta menyiapkan total petak pemakaman baru untuk jenazah ya "
"6","situasi penularan covid tak terkendali idi minta pemerintah tingkatkan testing"
"7","total dana penanganan covid thn menurut data bpkp lebih rp trilyun hasil auditnya bagaimana https t "
"8","pemerintah tidakbohongi rakyat bpom dan mui dinilai sudah memastikan vaksin covid sinovac aman dan halal "
"9","buat social covid warior  daripada hanya bisa menyalahkan pemerintah yg ada bagaimana kalau kalian sebagai masyarakat "
"10","pemerintah nunggak biaya perawatan pasien covid ke swasta rp t"
"11","pemerintah provinsi dki jakarta menyiapkan total petak pemakaman baru untuk jenazah yang dimakamkan dengan p "
"12","bilangnya gapercaya sama covid tapi kalau ada bantuan covid dari pemerintah langsung heboh sendiri  "
"13","pertanyaan simpel   sudahkah anda belajar untuk mengapresiasi hasil kerja pemerintah dalam penanganan covid dalam ha "
"14","semenjak covid gue sensian banget sama pemerintah indo kek yang awalnya ngedukung aja jadi sempet banget ngeliat pemerinta"
"15","pemerintah nunggak dana covid ke an rumah sakit hampir trilyun rupiah  sebenarnya dana ratusan trilyun yg diangga "
"16","vaksin merupakan upaya pemerintah utk mengurangi dampak buruk dr penyebaran virus covid di indonesia   tidak perlu tak "
"17","pertanyaanya selama wabah pandemi covid di indonesia apa solusi ataupun ide yang sudah anda tawarkan kepada pemerintah  "
"18","fix vaksin tak berbahaya   ada dua hal yg sangat penting yaitu pertama mengendalikan pandemi kedua pem "
"19","angka c sejak bulan di indonesia sudah tembus juta lebih pasien bukan kasus sedikit pesan menkes dan  "
"20","jadi presiden bakal minta naaf atas korban yg meninggal kl jumlah korban yg meninggal su "
"21","politisi pks mencontohkan sikap pm inggris boris johnson dan meminta pemerintah ri minta maaf atas penanganan covi "
"22","sikap setengah kerap kali ditunjukkan pemerintah dlm menangani covid teranyar masuknya warga china di saat pe "
"23","pemerintah melalui satgas penanganan covid memutuskan memperpanjang pelarangan orang asing untuk masuk ke wilayah i "
"24","wakil ketua dpr azis syamsuddin menyayangkan adanya tka cina di tengah pemberlakuan pembatasan masuk bagi wna untuk pena "
"25","kebaikan tersebut hrs qt apresiasi dgn baik aplg program vaksinasi covid dr pemerintah menjadi respon yg positi "
"26","pemerintah izinkan semua rs buka pelayanan covid"
"27","penyintas covid gak dapet vaksinasi gratis dari pemerintah gamasalah kan udah divaksin langsung sama gusti allah       "
"28","rumah sakit pemerintah nunggak hampir rp triliun  sebenarnya dana ratusan trilyun yg dianggarkan utk tangani covid sam "
"29","pasien covid membludak pemerintah utang rp t ke rs swasta"
"30","si ini adalah ciri ciri orang yang tidak tau terima kasih disaat pemerintah bersusah payah menangani wabah p "
"31","pemerintah as menyerukan penyelidikan internasional yang kuat dan jelas soal asal usul virus corona covid di "
"32","pertanyaanya selama wabah pandemi covid di indonesia apa solusi ataupun ide yang sudah anda tawarkan kepada pemer "
"33","vaksin covid ini gunanya sbg deteksi awal buat tubuh agar bisa mengenali virus yang mmbahayakn tsb dan vaksincovid  "
"34","tapi aku mengapreisasi feed instagram kamu yg sangat rapi kok lebih rapi dari kinerja pemerintah kamu dalam menan "
"35","pemerintah telah mengambil kebijakan pemberlakuan pembatasan kegiatan masyarakat ppkm hal tersebut bertujuan aga "
"36","promosi kota pariaman gandeng guru millenial   pemerintah kota pariaman menyiapkan stategi promosi pariwisata di t "
"37","pemerintah nunggak dana covid rp triliun ustadz tengku zul memang uangnya tak ada"
"38","bripka andi gristian melaksanakan giat sambang menjalin silaturahmi terhadap warga dalam sambang tersebut  mengaja "
"39","pertanyaan simpel sudahkah anda mempelajari apa saja kinerja nyata pemerintah dalam menangani covid dalam hal i "
"40","si ini adalah ciri ciri orang yang tidak tau terima kasih disaat pemerintah bersusah payah menanga "
"41","sesuai anjiran pemerintah untuk berjemur biar gak kena covid"
"42","dan tentunya akan muncul pertanyaan di kasus ke juta itu nanti sudahkah anda belajar untuk mengapres "
"43","juga dana sebesar t untuk covid yang malah digunakan untuk proyek nggak jelas  pada "
"44","pasien covid ditanggung pemerintah mengapa ada yang masih bayar jakarta teropongsenayan kementerian kesehat "
"45","mau kasus covid turun drastis ayo mnta pemerintah bersikap sprti di video ini  masalahnya nanti setelah dilakukan spr "
"46","presiden joko widodo mengatakan pemerintah berusaha bekerja dengan cepat untuk mendapatkan ratus "
"47","tapi kalau pemerintah mengambil keputusan lockdown atau memperpanjang kembali psbb amp jam malam ki "
"48","pemerintah ngasih lu aturan karena covid jgn keluar rumah terus ngapain lu masih keluar kek gue di dalem coba dah lu berani gk di dalem"
